Date and Time, Depth (M), Oxygen Conc. (mg/L)
2024-07-17T12:00:18-0700, -76 m, 6.3660
2024-07-17T12:00:18-0700, -77 m, 6.3630
2024-07-17T12:00:18-0700, -78 m, 6.3630
2024-07-17T12:00:18-0700, -79 m, 6.3640
2024-07-17T12:00:18-0700, -7 m, 13.1210
2024-07-17T12:00:18-0700, -80 m, 6.3620
2024-07-17T12:00:18-0700, -8 m, 12.6470
2024-07-17T12:00:18-0700, -9 m, 12.4170
2024-07-18T00:00:17-0700, -10 m, 12.9710
2024-07-18T00:00:17-0700, -11 m, 12.6190
2024-07-18T00:00:17-0700, -12 m, 12.3930
2024-07-18T00:00:17-0700, -13 m, 12.1200
2024-07-18T00:00:17-0700, -14 m, 11.7810
2024-07-18T00:00:17-0700, -15 m, 11.4540
2024-07-18T00:00:17-0700, -16 m, 10.9670
2024-07-18T00:00:17-0700, -17 m, 10.5310
2024-07-18T00:00:17-0700, -18 m, 10.0960
2024-07-18T00:00:17-0700, -19 m, 9.8060
2024-07-18T00:00:17-0700, -20 m, 9.6880
2024-07-18T00:00:17-0700, -21 m, 9.6330
2024-07-18T00:00:17-0700, -22 m, 9.5760
2024-07-18T00:00:17-0700, -23 m, 9.5290
2024-07-18T00:00:17-0700, -24 m, 9.4910
2024-07-18T00:00:17-0700, -25 m, 9.4480
2024-07-18T00:00:17-0700, -26 m, 9.3690
2024-07-18T00:00:17-0700, -27 m, 9.2910
2024-07-18T00:00:17-0700, -28 m, 9.2130
2024-07-18T00:00:17-0700, -29 m, 9.0300
2024-07-18T00:00:17-0700, -30 m, 8.7760
2024-07-18T00:00:17-0700, -31 m, 8.6190
2024-07-18T00:00:17-0700, -32 m, 8.5060
2024-07-18T00:00:17-0700, -33 m, 8.3930
2024-07-18T00:00:17-0700, -34 m, 8.3060
2024-07-18T00:00:17-0700, -35 m, 8.1360
2024-07-18T00:00:17-0700, -36 m, 7.8060
2024-07-18T00:00:17-0700, -37 m, 7.6840
2024-07-18T00:00:17-0700, -38 m, 7.6150
2024-07-18T00:00:17-0700, -39 m, 7.5400
2024-07-18T00:00:17-0700, -40 m, 7.4360
2024-07-18T00:00:17-0700, -41 m, 7.3670
2024-07-18T00:00:17-0700, -42 m, 7.2930
2024-07-18T00:00:17-0700, -43 m, 7.2420
2024-07-18T00:00:17-0700, -44 m, 7.2090
2024-07-18T00:00:17-0700, -45 m, 7.1780
2024-07-18T00:00:17-0700, -46 m, 7.1580
2024-07-18T00:00:17-0700, -47 m, 7.1480
2024-07-18T00:00:17-0700, -48 m, 7.1440
2024-07-18T00:00:17-0700, -49 m, 7.1290
2024-07-18T00:00:17-0700, -50 m, 7.1250
2024-07-18T00:00:17-0700, -51 m, 7.1330
2024-07-18T00:00:17-0700, -52 m, 7.1400
2024-07-18T00:00:17-0700, -53 m, 7.1380
2024-07-18T00:00:17-0700, -54 m, 7.1320
2024-07-18T00:00:17-0700, -55 m, 7.1280
2024-07-18T00:00:17-0700, -56 m, 7.1260
2024-07-18T00:00:17-0700, -57 m, 7.1200
2024-07-18T00:00:17-0700, -58 m, 7.1110
2024-07-18T00:00:17-0700, -59 m, 7.1030
2024-07-18T00:00:17-0700, -5 m, 13.6410
2024-07-18T00:00:17-0700, -60 m, 7.0980
2024-07-18T00:00:17-0700, -61 m, 7.0970
2024-07-18T00:00:17-0700, -62 m, 7.0840
2024-07-18T00:00:17-0700, -63 m, 7.0620
2024-07-18T00:00:17-0700, -64 m, 7.0290
2024-07-18T00:00:17-0700, -65 m, 6.9590
2024-07-18T00:00:17-0700, -66 m, 6.9120
2024-07-18T00:00:17-0700, -67 m, 6.8750
2024-07-18T00:00:17-0700, -68 m, 6.8510
2024-07-18T00:00:17-0700, -69 m, 6.8330
2024-07-18T00:00:17-0700, -6 m, 13.6060
2024-07-18T00:00:17-0700, -70 m, 6.8150
2024-07-18T00:00:17-0700, -71 m, 6.8040
2024-07-18T00:00:17-0700, -72 m, 6.7970
2024-07-18T00:00:17-0700, -73 m, 6.7790
2024-07-18T00:00:17-0700, -74 m, 6.7340
2024-07-18T00:00:17-0700, -75 m, 6.6660
2024-07-18T00:00:17-0700, -76 m, 6.6110
2024-07-18T00:00:17-0700, -77 m, 6.5690
2024-07-18T00:00:17-0700, -78 m, 6.5270
2024-07-18T00:00:17-0700, -79 m, 6.4800
2024-07-18T00:00:17-0700, -7 m, 13.5320
2024-07-18T00:00:17-0700, -80 m, 6.4380
2024-07-18T00:00:17-0700, -8 m, 13.4750
2024-07-18T00:00:17-0700, -9 m, 13.3410
